Try,Dimension,Time,L1_DCM,L2_DCM
1,600,0.222968,244799212,38013210
2,600,0.219084,244796581,37870234
3,600,0.231534,244805788,37942350
4,600,0.229527,244822437,37809389
5,600,0.257572,244812317,37858746
6,600,0.237016,244820290,38114781
7,600,0.224974,244822406,38058767
8,600,0.229993,244822415,38165678
9,600,0.231635,244802070,37913705
10,600,0.242356,244781231,38206265
11,600,0.228802,244811391,37824116
12,600,0.235756,244823338,38084000
13,600,0.227256,244818759,37840304
14,600,0.23427,244748189,38157944
15,600,0.226357,244823324,37907724
16,600,0.217688,244816558,38135977
17,600,0.204589,244815884,37953999
18,600,0.205922,244814492,37927984
19,600,0.214241,244818966,37968819
20,600,0.209244,244793370,37971236
21,600,0.20809,244785281,38228272
22,600,0.209587,244780299,37987614
23,600,0.216562,244760642,38415367
24,600,0.20719,244783818,37962535
25,600,0.208369,244788300,37930764
26,600,0.209027,244780833,38156101
27,600,0.220019,244791497,37899647
28,600,0.205923,244816113,37841237
29,600,0.207358,244732539,38133059
30,600,0.210037,244815573,37755250
1,1000,1.4909,1226542529,220727697
2,1000,1.74172,1250425623,239008208
3,1000,1.7388,1248764289,214369994
4,1000,1.74021,1247761482,211200650
5,1000,1.70673,1249871248,236251363
6,1000,1.73865,1250329869,210714093
7,1000,1.71358,1249202290,241888928
8,1000,1.72632,1247530853,218071841
9,1000,1.00211,1129898636,173565906
10,1000,1.72495,1246584219,213068907
11,1000,1.00994,1131118147,177155700
12,1000,1.72586,1245746702,214149463
13,1000,0.99936,1131177312,176064422
14,1000,1.70364,1245091330,234436793
15,1000,0.985563,1131113553,176233573
16,1000,1.70615,1244162603,219830022
17,1000,1.00395,1129903076,172493443
18,1000,1.75295,1247500635,208231989
19,1000,1.01509,1129892963,170954135
20,1000,1.74407,1247138413,226105462
21,1000,0.984996,1129896848,172778562
22,1000,1.733,1248026276,209722899
23,1000,0.995874,1129903343,172513282
24,1000,1.74101,1246501329,205898834
25,1000,1.71651,1247631875,235764129
26,1000,1.70982,1247488706,226843124
27,1000,0.993912,1131156545,177717635
28,1000,1.70815,1247519190,215822283
29,1000,0.988543,1131132260,177464189
30,1000,1.70792,1248532227,216099502
1,1400,4.24875,3529542397,689477213
2,1400,4.16613,3551138093,686756846
3,1400,4.16732,3541838340,669099486
4,1400,4.11138,3546963730,643451468
5,1400,4.15352,3542232155,658033667
6,1400,4.14019,3550907501,636983525
7,1400,4.14594,3553434813,832417344
8,1400,4.12214,3549657512,843883253
9,1400,4.18844,3547279845,662304458
10,1400,4.19925,3544644912,786275429
11,1400,4.39666,3574189080,817345405
12,1400,4.11657,3566044900,777984978
13,1400,4.16254,3568314657,853097121
14,1400,4.13369,3567477997,814836940
15,1400,4.15928,3573794263,728798783
16,1400,4.27438,3571106967,816400398
17,1400,4.09043,3570368456,766784601
