Try,Dimension,Time,MFlops
0,4096,13.1574,10445.75
0,6144,72.2193,6422.89
0,8192,173.124,6351.01
0,10240,411.601,5217.39
1,4096,17.6917,7768.56
1,6144,66.9193,6931.58
1,8192,204.713,5370.99
1,10240,356.336,6026.57
2,4096,18.5238,7419.59
2,6144,65.6705,7063.39
2,8192,184.888,5946.91
2,10240,347.52,6179.45
3,4096,17.0096,8080.08
3,6144,66.3979,6986.01
3,8192,183.926,5978.01
3,10240,339.798,6319.88
4,4096,17.6227,7798.97
4,6144,64.8936,7147.95
4,8192,184.848,5948.19
4,10240,348.299,6165.63
5,4096,18.4966,7430.5
5,6144,69.1402,6708.93
5,8192,182.194,6034.84
5,10240,343.826,6245.84
6,4096,19.6773,6984.64
6,6144,65.5968,7071.33
6,8192,165.307,6651.33
6,10240,305.755,7023.54
7,4096,14.485,9488.36
7,6144,51.9429,8930.12
7,8192,148.966,7380.96
7,10240,301.199,7129.78
8,4096,14.9926,9167.12
8,6144,49.9747,9281.83
8,8192,142.581,7711.49
8,10240,300.661,7142.54
9,4096,17.1348,8021.04
9,6144,54.4402,8520.48
9,8192,148.512,7403.52
9,10240,310.469,6916.9
