Try,Dimension,Time,L1_DCM,L2_DCM,MFlops
0,4096,53.2467,883946959,2046646666,2580.86
0,6144,126.214,2710242454,5873619158,3674.86
0,8192,409.844,6665445293,12123507049,2682.59
0,10240,530.203,13556593688,25659894927,4050.11
1,4096,51.0067,880716367,2113442281,2694.2
1,6144,127.212,2719737060,5504956808,3646.03
1,8192,266.754,6650504584,12987441366,4121.57
1,10240,460.094,13508021691,25673777177,4667.26
2,4096,45.67,885074292,2087946769,3009.03
2,6144,120.703,2721843214,5466448609,3842.64
2,8192,246.294,6674118918,13231690319,4463.95
2,10240,395.271,13546210942,25972477416,5432.67
3,4096,45.1587,878709917,2037469201,3043.09
3,6144,113.401,2724628735,5399229439,4090.08
3,8192,235.042,6666487585,12994991695,4677.65
3,10240,393.957,13561188816,26006661061,5450.79
4,4096,42.6158,886503864,2092138326,3224.68
4,6144,113.145,2717541317,5398801288,4099.33
4,8192,221.116,6663797864,13319059153,4972.25
4,10240,380.45,13539654725,25969403551,5644.31
5,4096,42.2079,882434805,2049960417,3255.84
5,6144,109.435,2715169909,5406725425,4238.3
5,8192,219.078,6663274697,13208472553,5018.51
5,10240,384.106,13579369904,25879125308,5590.59
6,4096,39.8163,881500205,2065574792,3451.4
6,6144,110.945,2720749104,5418377242,4180.62
6,8192,211.291,6684766156,13511827146,5203.46
6,10240,396.656,13595486872,25777927576,5413.71
7,4096,45.0588,882284409,2066525398,3049.84
7,6144,98.8965,2717738765,5564712406,4689.94
7,8192,215.9,6689784373,13368823295,5092.38
7,10240,438.902,13733518037,25464406324,4892.62
8,4096,37.5679,887189974,2144182101,3657.97
8,6144,104.508,2720603749,5485981052,4438.12
8,8192,205.575,6669595728,13650153800,5348.14
8,10240,426.357,13731389715,25746129850,5036.57
9,4096,39.1196,883045175,2088193361,3512.87
9,6144,99.1366,2720248236,5572716516,4678.58
9,8192,213.94,6691103076,13393704814,5139.03
9,10240,427.322,13760281863,25797175527,5025.2
