Try,Dimension,Time
0,600,0.319219489
0,1000,1.528328847
0,1400,4.426413341
0,1800,9.429039666
0,2200,16.857928704
0,2600,27.943151571
0,3000,42.621668527
1,600,0.316304207
1,1000,1.485293635
1,1400,4.31188922
1,1800,9.183638338
1,2200,16.557933432
1,2600,27.381751928
1,3000,42.34645647
2,600,0.316857601
2,1000,1.494146701
2,1400,4.246664697
2,1800,9.10463287
2,2200,16.573373885
2,2600,27.376998775
2,3000,42.137666231
3,600,0.318681249
3,1000,1.498563023
3,1400,4.308692345
3,1800,9.394936941
3,2200,16.827215666
3,2600,27.219468871
3,3000,42.020413281
4,600,0.319981119
4,1000,1.522525892
4,1400,4.345350224
4,1800,9.070224598
4,2200,16.456653719
4,2600,27.258214176
4,3000,41.710014584
5,600,0.316360613
5,1000,1.486092457
5,1400,4.286809242
5,1800,9.099120731
5,2200,16.657128152
5,2600,27.342517354
5,3000,41.798098796
6,600,0.315069498
6,1000,1.481978899
6,1400,4.304677101
6,1800,9.075998278
6,2200,16.537163544
6,2600,27.174693303
6,3000,41.836075901
7,600,0.313341001
7,1000,1.489384902
7,1400,4.293505132
7,1800,9.028476264
7,2200,16.573733379
7,2600,27.276611307
7,3000,41.775525263
8,600,0.308950001
8,1000,1.466733702
8,1400,4.278702906
8,1800,9.105148913
8,2200,16.585058631
8,2600,27.189541818
8,3000,42.045608302
9,600,0.2722251
9,1000,1.3591047
9,1400,5.491912546
9,1800,10.162405098
9,2200,18.024170571
9,2600,34.093777735
9,3000,54.682513366
10,600,0.257286527
10,1000,1.204018569
10,1400,4.188980113
10,1800,9.47044705
10,2200,19.008058819
10,2600,34.167238366
10,3000,54.110092391
